Name,Price,Link
Idly,25.00,https://i.pinimg.com/564x/f4/d5/35/f4d535a76f86f7c909f15cf0457ccbf2.jpg
Vadai,10.00,https://i.pinimg.com/736x/9b/51/f2/9b51f2f4d27151e50a8bde49a54281aa.jpg
Pongal,45.00,https://i.pinimg.com/564x/72/a2/d6/72a2d6f80cb403fae082f5620df9de18.jpg
Kichadi,45.00,https://i.pinimg.com/564x/d5/8c/e1/d58ce1a773ee744dabc2d19f00663549.jpg
Poori Masala,45.00,https://i.pinimg.com/564x/c7/33/43/c73343b3cf42640b0f47644e2f60d433.jpg
Dosai,40.00,https://i.pinimg.com/564x/2b/59/78/2b5978cc67ba2ce259de21f3961ed2ea.jpg
Oothappam,40.00,https://i.pinimg.com/564x/32/eb/39/32eb392a8ad35d9c9b8ca83950718551.jpg
Masala Dosai,40.00,https://i.pinimg.com/564x/04/9f/06/049f0614b1a430a8edcdb1944784e0c3.jpg
Podi Dosai,55.00,https://i.pinimg.com/564x/fe/d1/8c/fed18ce25ee124c6ba1a66f4973679a0.jpg
Rava Dosai,50.00,https://i.pinimg.com/564x/6e/a5/89/6ea589e26f140fea6f12eb01bd12f30c.jpg
Onion Oothapam,65.00,https://i.pinimg.com/564x/b1/aa/0a/b1aa0af5e8aca9529e97ec4a9303107a.jpg
Onion Dosai,65.00,https://parottaexpress.com/wp-content/uploads/2023/11/Onion-Dosa.png
Ghee Rosat,65.00
Paneer Dosai,65.00
Dosai Of The Day,65.00
Variety Rice,45.00
Curd Rice,45.00
Veg Briyani,50.00
Meals,90.00
Tea,10.00
Filter Coffee,20.00
Horlicks,30.00
Boost,30.00
Bournvita,30.00
Hot Chocolate,25.00
Expresso,15.00
Lemon Tea,15.00
Green Tea,15.00
Hot Badham Milk,30.00
Cappucino,40.00
Tomato Dosai,70.00
Palakkaal Dosai,70.00
Brocoli Dosai,75.00
Set Dosai Vadacurry,60.00
Cheese Mayo Dosai,90.00
5 Taste Oothappam,80.00
Cheese Peas Dosai,80.00
Cheese Peas Oothappam,80.00
Cheese Paneer Dosai,80.00
Cheese Mushroom Dosai,80.00
Cheese Corn Dosai,80.00
Cheese Corn Oothappam,80.00
Cheese Gobi Dosai,80.00
Ghee Gobi Dosai,75.00
Ghee Podi Onion Dosai,75.00
Mysore Masala Dosai,70.00
Gobi Dosai,65.00
Brinjal Kosthu Dosai,70.00
Veg Oothappam,60.00
Ghee Masala Dosai,70.00
Ghee Onion Podi Oothappam,70.00
Ghee Podi Oothappam,75.00
Ghee Podi Dosai,70.00
Ghee Onion Dosai,70.00
Ghee Onion Dothappam,70.00
Ghee Paneer Dosai,75.00
Ghee Mushroom Dosai,65.00
Ghee Oothappam,75.00
Chilly Garlic Dosai,70.00
Babycorn Dosai,70.00
Podi Oothappam,60.00
